reported_year,race_bias,ethnicity_bias
2018,Black,None
2018,Black,None
2018,Black,None
2018,Black,None
2018,East/SE Asian,Chinese
2018,Black,None
2018,Black,None
2018,West Asian/Middle Eastern,Iranian
2018,Black,None
2018,Black,"Chinese, Arab"
2018,Black,None
2018,East/SE Asian,Korean
2018,Black,None
2018,Black,None
2018,Black,None
2018,East/SE Asian,Chinese
2018,East/SE Asian,Chinese
2018,Black,None
2018,Other/Multiracial,None
2018,West Asian/Middle Eastern,Iranian
2018,South Asian,Indian
2018,Black,None
2018,South Asian,Indian
2018,Black,None
2018,West Asian/Middle Eastern,Iranian
2018,Black,None
2018,Black,None
2018,West Asian/Middle Eastern,Arab
2018,Black,None
2018,Black,None
2018,Black,None
2018,Black,None
2018,South Asian,Pakistani
2018,West Asian/Middle Eastern,Israeli
2018,Black,None
2018,Black,None
2018,Other/Multiracial,None
2018,Black,Indian
2018,East/SE Asian,Chinese
2018,Black,None
2018,White,None
2019,Black,None
2019,West Asian/Middle Eastern,Palestinian
2019,Black,None
2019,Black,None
2019,Black,None
2019,South Asian,Indian
2019,Black,Palestinian
2019,Black,None
2019,East/SE Asian,None
2019,Black,None
2019,Black,Somali
2019,Black,None
2019,Black,None
2019,Black,None
2019,Black,None
2019,East/SE Asian,Chinese
2019,South Asian,Sri Lankan
2019,West Asian/Middle Eastern,Israeli
2019,Black,None
2019,White,None
2019,South Asian,Indian
2019,White,None
2019,West Asian/Middle Eastern,Israeli
2019,Other/Multiracial,None
2019,Black,None
2019,Other/Multiracial,None
2019,White,None
2019,Other/Multiracial,None
2019,Black,None
2019,Black,None
2019,Black,None
2019,Other/Multiracial,Other Ethnicity not mentioned
2019,Black,None
2019,Black,None
2019,West Asian/Middle Eastern,Israeli
2019,West Asian/Middle Eastern,Israeli
2019,East/SE Asian,None
2019,Other/Multiracial,Other Ethnicity not mentioned
2019,East/SE Asian,None
2019,Black,None
2019,Black,None
2019,Other/Multiracial,Other Ethnicity not mentioned
2019,West Asian/Middle Eastern,Iranian
2019,Black,None
2020,East/SE Asian,Chinese
2020,Black,None
2020,Black,None
2020,Black,None
2020,White,None
2020,East/SE Asian,Chinese
